Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3
metilfenobarbital (metilfenobarbital),D,"El uso de primidona, fenobarbitona o metilfenobarbitona durante el embarazo se ha asociado con defectos craneofaciales menores, hipoplasia ungueal y discapacidad del desarrollo. Su uso durante el embarazo, solo o en combinación con otros anticonvulsivos, puede causar defectos de coagulación en el recién nacido que pueden prevenirse mediante la administración profiláctica de vitamina K a la madre antes del parto. El riesgo de tener un hijo anormal como resultado de la medicación antiepiléptica es ampliamente superado por los peligros para la madre y el feto de la epilepsia no controlada. Se recomienda que: • las mujeres que toman medicamentos antiepilépticos (AED) reciban asesoramiento previo al embarazo con respecto al riesgo de anomalías fetales; • los AED deben continuarse durante el embarazo y la monoterapia debe usarse si es posible a la dosis efectiva más baja, ya que el riesgo de anomalía es mayor en mujeres que toman medicación combinada; • la suplementación con ácido fólico (5 mg) debe comenzar cuatro semanas antes y continuar durante doce semanas después de la concepción; • Se debe ofrecer diagnóstico prenatal especializado, incluida una ecografía detallada a mediados del trimestre.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
metilprednisolona,A,,Sistema endocrino,Corticosteroides,Sistémico
aceponato de metilprednisolona,do,,Sistema endocrino,Corticosteroides,Actual
metiltestosterona,D,Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo.,Sistema endocrino,Andrógenos y esteroides anabólicos,
metisergida,do,"Las dosis orales estándar para la migraña durante la primera mitad del embarazo no parecen representar riesgos para el feto. La ergotamina induce la contracción uterina y, por lo tanto, puede causar parto prematuro o hipertonía. Dosis mayores o un uso más frecuente pueden poner en riesgo al feto debido a la posibilidad de obstaculizar el riego sanguíneo fetal.",Sistema cardiovascular,Preparaciones antimigrañosas,
metoclopramida,A,,Sistema nervioso central,"Antieméticos, antinauseosos",
metolazona,do,"Las tiazidas, los diuréticos relacionados y los diuréticos de asa pueden causar alteraciones electrolíticas en el feto. Se ha reportado trombocitopenia neonatal con el uso de tiazidas y diuréticos relacionados. Los diuréticos de asa, como la furosemida y la bumetanida, probablemente también estén asociados con este riesgo. Durante la última etapa del embarazo, este tipo de productos solo debe administrarse bajo indicación médica y en la dosis mínima eficaz.",Sistema cardiovascular,Diuréticos,"Tiazidas, diuréticos relacionados y diuréticos de asa"
metoprolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,
metronidazol,B2,,Antimicrobianos,Antibióticos,
metirapona,B3,,Agentes de diagnóstico,Prueba de respuesta pituitaria-suprarrenal,
mexiletina,B1,,Sistema cardiovascular,Antiarrítmicos,
mezlocilina,B1,,Antimicrobianos,Antibióticos,penicilinas
mianserina,B2,,Sistema nervioso central,antidepresivos,antidepresivos tetracíclicos
micafungina,B3,,Antimicrobianos,Antibióticos,
miconazol,A,,Medicamentos utilizados en Dermatología,"Antifúngicos tópicos, antisépticos (ver también agentes antifúngicos)",
miconazol,A,,Sistema genitourinario,Medicación vaginal tópica,
midazolam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,
clorhidrato de midodrina,do,Este fármaco ha demostrado causar daño embriofetal y letalidad en animales.,Sistema cardiovascular,,
midostaurina,D, Este medicamento es embriotóxico y embrioletal en animales preñados.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
clorhidrato de migalastat,B3,,Sistema alimentario,,
miglitol,B3,,Sistema endocrino,agentes hipoglucemiantes,
miglustat,D,Se podría esperar que este medicamento atraviese la placenta y se ha demostrado que es embriotóxico en ratas y conejos.,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
milnaciprán,B3,,Sistema nervioso central,antidepresivos,
milrinona,B3,,Sistema cardiovascular,Agentes inotrópicos cardíacos,
minociclina,D,"Las tetraciclinas son seguras para su uso durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), después de lo cual provocan decoloración de los dientes del bebé.",Antimicrobianos,Antibióticos,Tetraciclinas
minoxidil,do,Este medicamento se ha asociado con hipertricosis en el recién nacido después de la exposición en el útero.,Sistema cardiovascular,Antihipertensivos,
mirabegrón,B3,,Sistema genitourinario,Trastornos de la función de la vejiga,
mirikizumab,B1,,Alergia y sistema inmunológico,Inmunomodificadores,
mirtazapina,B3,,Sistema nervioso central,antidepresivos,
misoprostol,incógnita,Este medicamento puede producir graves defectos congénitos. También puede causar un aborto espontáneo que podría derivar en un sangrado potencialmente peligroso.,Sistema alimentario,"Hiperacidez, reflujo, úlceras",
mitomicina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,
mitozantrona,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,
mivacurio,B2,,Medicamentos utilizados en anestesia,Agentes bloqueadores neuromusculares,
succinato de mobocertinib,D,"Basándose en su mecanismo de acción y en datos de estudios en animales (muerte embriofetal y disminución del peso fetal en ratas preñadas tratadas durante el periodo de organogénesis), mobocertinib puede causar daño fetal cuando se administra durante el embarazo.",Agentes antineoplásicos,,
moclobemida,B3,,Sistema nervioso central,antidepresivos,
modafinilo,D,Este fármaco es embriotóxico y fetotóxico al administrarse a ratas y conejas preñadas. También redujo la viabilidad de las crías al administrarse a ratas preñadas.,Sistema nervioso central,estimulantes del sistema nervioso central,
mogamulizumab,do,"No existen datos sobre su uso en mujeres embarazadas. En monas cinomolgas preñadas, mogamulizumab no causó malformaciones, mortalidad embriofetal ni retraso del crecimiento. Sin embargo, se demostró que mogamulizumab atraviesa la barrera placentaria, lo que produjo actividad farmacológica en los fetos, evidente en una disminución de los linfocitos que expresan CCR4. No se recomienda el uso de mogamulizumab durante el embarazo a menos que el beneficio potencial para la madre supere el riesgo potencial para el feto.",Agentes antineoplásicos,anticuerpos monoclonales,
molgramostim,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
molnupiravir,D,"Según datos obtenidos en animales, el molnupiravir puede causar daño fetal cuando se administra a mujeres embarazadas.",Antimicrobianos,agentes antivirales,
 momelotinib,D,"El momelotinib está contraindicado durante el embarazo. Se observaron malformaciones, letalidad embriofetal y otros efectos adversos con momelotinib en animales a niveles de exposición clínicamente relevantes.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
mometasona,B3,,Sistema endocrino,Corticosteroides,Actual
montelukast,B1,,Sistema respiratorio,,
moroctocog alfa (factor VIII - rch),B2,,Sistema cardiovascular,Agentes hemostáticos,
morfina,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides
moxifloxacino,B3,,Antimicrobianos,Antibióticos,Quinolonas
moxonidina,B3,,Sistema cardiovascular,Antihipertensivos,
"vacuna antimeningocócica multicomponente del grupo B (recombinante, adsorbida)",B1,,Vacunas,Vacunas de subunidades,Vacunas conjugadas de polisacáridos
mupirocina,B1,,Antimicrobianos,Antibióticos,
mostina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes alquilantes,
micofenolato de mofetilo,D,"Inhibe la síntesis de ácidos nucleicos y puede causar malformaciones fetales o la muerte. Se han reportado malformaciones congénitas, incluyendo malformaciones del oído (es decir, oído externo o medio anormalmente formado o ausente), en hijos de pacientes expuestas a micofenolato de mofetilo en combinación con otros inmunosupresores durante el embarazo.",Alergia y sistema inmunológico,Inmunomodificadores,
ácido micofenólico,D,"Inhibe la síntesis de ácidos nucleicos y puede causar malformaciones fetales o la muerte. Se han reportado malformaciones congénitas, incluyendo malformaciones del oído (es decir, oído externo o medio anormalmente formado o ausente), en hijos de pacientes expuestas a micofenolato de mofetilo en combinación con otros inmunosupresores durante el embarazo.",Alergia y sistema inmunológico,Inmunomodificadores,
nabiximoles,B2,,Sistema nervioso central,,
nabumetona,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
nadroparina,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
nafarelina,D, Existe un riesgo teórico de aborto o anomalía fetal si se utilizan agonistas de GnRH durante el embarazo.,Sistema endocrino,hormonas pituitarias,
ácido nalidíxico,A,,Antimicrobianos,Antibióticos,
naloxona,B1,," Agentes desintoxicantes, antídotos",,
naltrexona,B3,,Agentes utilizados en estados de dependencia,,
nandrolona,D,Los esteroides anabólicos y otras sustancias con efectos androgénicos pueden tener un efecto virilizante en el feto femenino y deben evitarse durante el embarazo.,Sistema endocrino,Andrógenos y esteroides anabólicos,
naproxeno,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
